Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2009Q3,Personal insolvency agreement,Victoria,Yes,42
2009Q3,Personal insolvency agreement,Queensland,Yes,17
2009Q3,Personal insolvency agreement,South Australia,Yes,1
2009Q3,Personal insolvency agreement,Western Australia,Yes,10
2009Q3,Personal insolvency agreement,Tasmania,Yes,3
2009Q3,Personal insolvency agreement,Northern Territory,Yes,0
2009Q3,Personal insolvency agreement,Australian Capital Territory,Yes,0
2009Q3,Personal insolvency agreement,Other,Yes,0
2009Q4,Debtor's petition,New South Wales,Yes,756
2009Q4,Debtor's petition,Victoria,Yes,349
2009Q4,Debtor's petition,Queensland,Yes,553
2009Q4,Debtor's petition,South Australia,Yes,90
2009Q4,Debtor's petition,Western Australia,Yes,153
2009Q4,Debtor's petition,Tasmania,Yes,30
2009Q4,Debtor's petition,Northern Territory,Yes,14
2009Q4,Debtor's petition,Australian Capital Territory,Yes,18
2009Q4,Debtor's petition,Other,Yes,16
2009Q4,Sequestration order,New South Wales,Yes,166
2009Q4,Sequestration order,Victoria,Yes,110
2009Q4,Sequestration order,Queensland,Yes,96
2009Q4,Sequestration order,South Australia,Yes,22
2009Q4,Sequestration order,Western Australia,Yes,23
2009Q4,Sequestration order,Tasmania,Yes,9
2009Q4,Sequestration order,Northern Territory,Yes,2
2009Q4,Sequestration order,Australian Capital Territory,Yes,4
2009Q4,Sequestration order,Other,Yes,1
2009Q4,Total bankruptcies,New South Wales,Yes,922
2009Q4,Total bankruptcies,Victoria,Yes,459
2009Q4,Total bankruptcies,Queensland,Yes,649
2009Q4,Total bankruptcies,South Australia,Yes,112
2009Q4,Total bankruptcies,Western Australia,Yes,176
2009Q4,Total bankruptcies,Tasmania,Yes,39
2009Q4,Total bankruptcies,Northern Territory,Yes,16
2009Q4,Total bankruptcies,Australian Capital Territory,Yes,22
2009Q4,Total bankruptcies,Other,Yes,17
2009Q4,Deceased estate,New South Wales,Yes,0
2009Q4,Deceased estate,Victoria,Yes,0
2009Q4,Deceased estate,Queensland,Yes,0
2009Q4,Deceased estate,South Australia,Yes,0
2009Q4,Deceased estate,Western Australia,Yes,0
2009Q4,Deceased estate,Tasmania,Yes,0
2009Q4,Deceased estate,Northern Territory,Yes,0
2009Q4,Deceased estate,Australian Capital Territory,Yes,0
2009Q4,Deceased estate,Other,Yes,3
2009Q4,Debt agreement,New South Wales,Yes,26
2009Q4,Debt agreement,Victoria,Yes,34
2009Q4,Debt agreement,Queensland,Yes,35
2009Q4,Debt agreement,South Australia,Yes,6
2009Q4,Debt agreement,Western Australia,Yes,12
