Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2011Q4,Debtor's petition,Victoria,No,586
2011Q4,Debtor's petition,Queensland,No,906
2011Q4,Debtor's petition,South Australia,No,263
2011Q4,Debtor's petition,Western Australia,No,206
2011Q4,Debtor's petition,Tasmania,No,129
2011Q4,Debtor's petition,Northern Territory,No,16
2011Q4,Debtor's petition,Australian Capital Territory,No,29
2011Q4,Debtor's petition,Other,No,14
2011Q4,Sequestration order,New South Wales,No,83
2011Q4,Sequestration order,Victoria,No,50
2011Q4,Sequestration order,Queensland,No,31
2011Q4,Sequestration order,South Australia,No,13
2011Q4,Sequestration order,Western Australia,No,13
2011Q4,Sequestration order,Tasmania,No,4
2011Q4,Sequestration order,Northern Territory,No,2
2011Q4,Sequestration order,Australian Capital Territory,No,1
2011Q4,Sequestration order,Other,No,5
2011Q4,Total bankruptcies,New South Wales,No,1195
2011Q4,Total bankruptcies,Victoria,No,636
2011Q4,Total bankruptcies,Queensland,No,937
2011Q4,Total bankruptcies,South Australia,No,276
2011Q4,Total bankruptcies,Western Australia,No,219
2011Q4,Total bankruptcies,Tasmania,No,133
2011Q4,Total bankruptcies,Northern Territory,No,18
2011Q4,Total bankruptcies,Australian Capital Territory,No,30
2011Q4,Total bankruptcies,Other,No,19
2011Q4,Deceased estate,New South Wales,No,0
2011Q4,Deceased estate,Victoria,No,0
2011Q4,Deceased estate,Queensland,No,0
2011Q4,Deceased estate,South Australia,No,0
2011Q4,Deceased estate,Western Australia,No,0
2011Q4,Deceased estate,Tasmania,No,0
2011Q4,Deceased estate,Northern Territory,No,0
2011Q4,Deceased estate,Australian Capital Territory,No,0
2011Q4,Deceased estate,Other,No,0
2011Q4,Debt agreement,New South Wales,No,637
2011Q4,Debt agreement,Victoria,No,386
2011Q4,Debt agreement,Queensland,No,515
2011Q4,Debt agreement,South Australia,No,80
2011Q4,Debt agreement,Western Australia,No,146
2011Q4,Debt agreement,Tasmania,No,53
2011Q4,Debt agreement,Northern Territory,No,16
2011Q4,Debt agreement,Australian Capital Territory,No,25
2011Q4,Debt agreement,Other,No,2
2011Q4,Personal insolvency agreement,New South Wales,No,17
2011Q4,Personal insolvency agreement,Victoria,No,4
2011Q4,Personal insolvency agreement,Queensland,No,8
2011Q4,Personal insolvency agreement,South Australia,No,3
2011Q4,Personal insolvency agreement,Western Australia,No,7
2011Q4,Personal insolvency agreement,Tasmania,No,1
2011Q4,Personal insolvency agreement,Northern Territory,No,2
2011Q4,Personal insolvency agreement,Australian Capital Territory,No,0
2011Q4,Personal insolvency agreement,Other,No,0
2012Q1,Debtor's petition,New South Wales,No,1148
2012Q1,Debtor's petition,Victoria,No,635
2012Q1,Debtor's petition,Queensland,No,970
2012Q1,Debtor's petition,South Australia,No,272
2012Q1,Debtor's petition,Western Australia,No,220
2012Q1,Debtor's petition,Tasmania,No,136
2012Q1,Debtor's petition,Northern Territory,No,17
2012Q1,Debtor's petition,Australian Capital Territory,No,23
2012Q1,Debtor's petition,Other,No,7
2012Q1,Sequestration order,New South Wales,No,83
2012Q1,Sequestration order,Victoria,No,50
2012Q1,Sequestration order,Queensland,No,40
2012Q1,Sequestration order,South Australia,No,5
2012Q1,Sequestration order,Western Australia,No,11
2012Q1,Sequestration order,Tasmania,No,1
2012Q1,Sequestration order,Northern Territory,No,0
2012Q1,Sequestration order,Australian Capital Territory,No,2
2012Q1,Sequestration order,Other,No,7
2012Q1,Total bankruptcies,New South Wales,No,1231
2012Q1,Total bankruptcies,Victoria,No,685
2012Q1,Total bankruptcies,Queensland,No,1010
2012Q1,Total bankruptcies,South Australia,No,277
2012Q1,Total bankruptcies,Western Australia,No,231
2012Q1,Total bankruptcies,Tasmania,No,137
2012Q1,Total bankruptcies,Northern Territory,No,17
2012Q1,Total bankruptcies,Australian Capital Territory,No,25
2012Q1,Total bankruptcies,Other,No,14
2012Q1,Deceased estate,New South Wales,No,0
2012Q1,Deceased estate,Victoria,No,0
2012Q1,Deceased estate,Queensland,No,0
2012Q1,Deceased estate,South Australia,No,0
2012Q1,Deceased estate,Western Australia,No,0
2012Q1,Deceased estate,Tasmania,No,0
2012Q1,Deceased estate,Northern Territory,No,0
2012Q1,Deceased estate,Australian Capital Territory,No,0
2012Q1,Deceased estate,Other,No,0
2012Q1,Debt agreement,New South Wales,No,772
2012Q1,Debt agreement,Victoria,No,457
2012Q1,Debt agreement,Queensland,No,614
2012Q1,Debt agreement,South Australia,No,90
2012Q1,Debt agreement,Western Australia,No,218
2012Q1,Debt agreement,Tasmania,No,66
2012Q1,Debt agreement,Northern Territory,No,14
2012Q1,Debt agreement,Australian Capital Territory,No,46
2012Q1,Debt agreement,Other,No,1
2012Q1,Personal insolvency agreement,New South Wales,No,10
2012Q1,Personal insolvency agreement,Victoria,No,4
2012Q1,Personal insolvency agreement,Queensland,No,16
2012Q1,Personal insolvency agreement,South Australia,No,0
2012Q1,Personal insolvency agreement,Western Australia,No,1
2012Q1,Personal insolvency agreement,Tasmania,No,0
2012Q1,Personal insolvency agreement,Northern Territory,No,0
2012Q1,Personal insolvency agreement,Australian Capital Territory,No,2
2012Q1,Personal insolvency agreement,Other,No,0
2012Q2,Debtor's petition,New South Wales,No,1089
2012Q2,Debtor's petition,Victoria,No,546
2012Q2,Debtor's petition,Queensland,No,890
2012Q2,Debtor's petition,South Australia,No,269
2012Q2,Debtor's petition,Western Australia,No,208
2012Q2,Debtor's petition,Tasmania,No,128
2012Q2,Debtor's petition,Northern Territory,No,8
2012Q2,Debtor's petition,Australian Capital Territory,No,24
2012Q2,Debtor's petition,Other,No,5
2012Q2,Sequestration order,New South Wales,No,85
2012Q2,Sequestration order,Victoria,No,51
2012Q2,Sequestration order,Queensland,No,37
2012Q2,Sequestration order,South Australia,No,11
2012Q2,Sequestration order,Western Australia,No,11
2012Q2,Sequestration order,Tasmania,No,4
2012Q2,Sequestration order,Northern Territory,No,1
2012Q2,Sequestration order,Australian Capital Territory,No,0
2012Q2,Sequestration order,Other,No,1
2012Q2,Total bankruptcies,New South Wales,No,1174
2012Q2,Total bankruptcies,Victoria,No,597
2012Q2,Total bankruptcies,Queensland,No,927
2012Q2,Total bankruptcies,South Australia,No,280
2012Q2,Total bankruptcies,Western Australia,No,219
2012Q2,Total bankruptcies,Tasmania,No,132
2012Q2,Total bankruptcies,Northern Territory,No,9
2012Q2,Total bankruptcies,Australian Capital Territory,No,24
2012Q2,Total bankruptcies,Other,No,6
2012Q2,Deceased estate,New South Wales,No,0
2012Q2,Deceased estate,Victoria,No,0
2012Q2,Deceased estate,Queensland,No,0
2012Q2,Deceased estate,South Australia,No,0
2012Q2,Deceased estate,Western Australia,No,0
2012Q2,Deceased estate,Tasmania,No,0
2012Q2,Deceased estate,Northern Territory,No,0
2012Q2,Deceased estate,Australian Capital Territory,No,0
2012Q2,Deceased estate,Other,No,3
2012Q2,Debt agreement,New South Wales,No,736
2012Q2,Debt agreement,Victoria,No,368
2012Q2,Debt agreement,Queensland,No,603
2012Q2,Debt agreement,South Australia,No,76
2012Q2,Debt agreement,Western Australia,No,172
2012Q2,Debt agreement,Tasmania,No,78
2012Q2,Debt agreement,Northern Territory,No,11
2012Q2,Debt agreement,Australian Capital Territory,No,35
2012Q2,Debt agreement,Other,No,2
2012Q2,Personal insolvency agreement,New South Wales,No,17
2012Q2,Personal insolvency agreement,Victoria,No,13
2012Q2,Personal insolvency agreement,Queensland,No,9
2012Q2,Personal insolvency agreement,South Australia,No,1
2012Q2,Personal insolvency agreement,Western Australia,No,3
2012Q2,Personal insolvency agreement,Tasmania,No,0
2012Q2,Personal insolvency agreement,Northern Territory,No,0
2012Q2,Personal insolvency agreement,Australian Capital Territory,No,1
2012Q2,Personal insolvency agreement,Other,No,0
2012Q3,Debtor's petition,New South Wales,No,1083
2012Q3,Debtor's petition,Victoria,No,670
2012Q3,Debtor's petition,Queensland,No,874
2012Q3,Debtor's petition,South Australia,No,290
2012Q3,Debtor's petition,Western Australia,No,208
2012Q3,Debtor's petition,Tasmania,No,119
2012Q3,Debtor's petition,Northern Territory,No,12
2012Q3,Debtor's petition,Australian Capital Territory,No,28
2012Q3,Debtor's petition,Other,No,9
2012Q3,Sequestration order,New South Wales,No,77
2012Q3,Sequestration order,Victoria,No,40
2012Q3,Sequestration order,Queensland,No,35
2012Q3,Sequestration order,South Australia,No,9
2012Q3,Sequestration order,Western Australia,No,12
2012Q3,Sequestration order,Tasmania,No,1
2012Q3,Sequestration order,Northern Territory,No,0
2012Q3,Sequestration order,Australian Capital Territory,No,2
2012Q3,Sequestration order,Other,No,9
2012Q3,Total bankruptcies,New South Wales,No,1160
2012Q3,Total bankruptcies,Victoria,No,710
2012Q3,Total bankruptcies,Queensland,No,909
2012Q3,Total bankruptcies,South Australia,No,299
2012Q3,Total bankruptcies,Western Australia,No,220
2012Q3,Total bankruptcies,Tasmania,No,120
2012Q3,Total bankruptcies,Northern Territory,No,12
2012Q3,Total bankruptcies,Australian Capital Territory,No,30
2012Q3,Total bankruptcies,Other,No,18
2012Q3,Deceased estate,New South Wales,No,0
2012Q3,Deceased estate,Victoria,No,0
2012Q3,Deceased estate,Queensland,No,0
2012Q3,Deceased estate,South Australia,No,0
2012Q3,Deceased estate,Western Australia,No,0
2012Q3,Deceased estate,Tasmania,No,0
2012Q3,Deceased estate,Northern Territory,No,0
2012Q3,Deceased estate,Australian Capital Territory,No,0
2012Q3,Deceased estate,Other,No,1
2012Q3,Debt agreement,New South Wales,No,739
2012Q3,Debt agreement,Victoria,No,442
2012Q3,Debt agreement,Queensland,No,621
2012Q3,Debt agreement,South Australia,No,104
2012Q3,Debt agreement,Western Australia,No,158
2012Q3,Debt agreement,Tasmania,No,96
2012Q3,Debt agreement,Northern Territory,No,24
2012Q3,Debt agreement,Australian Capital Territory,No,47
2012Q3,Debt agreement,Other,No,1
2012Q3,Personal insolvency agreement,New South Wales,No,13
2012Q3,Personal insolvency agreement,Victoria,No,11
2012Q3,Personal insolvency agreement,Queensland,No,1
2012Q3,Personal insolvency agreement,South Australia,No,4
2012Q3,Personal insolvency agreement,Western Australia,No,7
2012Q3,Personal insolvency agreement,Tasmania,No,2
2012Q3,Personal insolvency agreement,Northern Territory,No,1
2012Q3,Personal insolvency agreement,Australian Capital Territory,No,0
2012Q3,Personal insolvency agreement,Other,No,0
2012Q4,Debtor's petition,New South Wales,No,1004
2012Q4,Debtor's petition,Victoria,No,606
2012Q4,Debtor's petition,Queensland,No,864
2012Q4,Debtor's petition,South Australia,No,264
2012Q4,Debtor's petition,Western Australia,No,203
2012Q4,Debtor's petition,Tasmania,No,99
2012Q4,Debtor's petition,Northern Territory,No,15
2012Q4,Debtor's petition,Australian Capital Territory,No,22
2012Q4,Debtor's petition,Other,No,9
2012Q4,Sequestration order,New South Wales,No,59
2012Q4,Sequestration order,Victoria,No,50
2012Q4,Sequestration order,Queensland,No,31
2012Q4,Sequestration order,South Australia,No,4
2012Q4,Sequestration order,Western Australia,No,15
2012Q4,Sequestration order,Tasmania,No,1
2012Q4,Sequestration order,Northern Territory,No,2
2012Q4,Sequestration order,Australian Capital Territory,No,3
2012Q4,Sequestration order,Other,No,6
2012Q4,Total bankruptcies,New South Wales,No,1063
2012Q4,Total bankruptcies,Victoria,No,656
2012Q4,Total bankruptcies,Queensland,No,895
2012Q4,Total bankruptcies,South Australia,No,268
2012Q4,Total bankruptcies,Western Australia,No,218
2012Q4,Total bankruptcies,Tasmania,No,100
2012Q4,Total bankruptcies,Northern Territory,No,17
2012Q4,Total bankruptcies,Australian Capital Territory,No,25
2012Q4,Total bankruptcies,Other,No,15
2012Q4,Deceased estate,New South Wales,No,0
2012Q4,Deceased estate,Victoria,No,0
2012Q4,Deceased estate,Queensland,No,0
2012Q4,Deceased estate,South Australia,No,0
2012Q4,Deceased estate,Western Australia,No,0
2012Q4,Deceased estate,Tasmania,No,0
2012Q4,Deceased estate,Northern Territory,No,0
2012Q4,Deceased estate,Australian Capital Territory,No,0
2012Q4,Deceased estate,Other,No,4
2012Q4,Debt agreement,New South Wales,No,743
2012Q4,Debt agreement,Victoria,No,442
2012Q4,Debt agreement,Queensland,No,619
2012Q4,Debt agreement,South Australia,No,128
2012Q4,Debt agreement,Western Australia,No,211
2012Q4,Debt agreement,Tasmania,No,85
2012Q4,Debt agreement,Northern Territory,No,27
2012Q4,Debt agreement,Australian Capital Territory,No,35
2012Q4,Debt agreement,Other,No,4
2012Q4,Personal insolvency agreement,New South Wales,No,10
2012Q4,Personal insolvency agreement,Victoria,No,7
2012Q4,Personal insolvency agreement,Queensland,No,12
2012Q4,Personal insolvency agreement,South Australia,No,3
2012Q4,Personal insolvency agreement,Western Australia,No,9
2012Q4,Personal insolvency agreement,Tasmania,No,1
2012Q4,Personal insolvency agreement,Northern Territory,No,1
2012Q4,Personal insolvency agreement,Australian Capital Territory,No,0
2012Q4,Personal insolvency agreement,Other,No,0
2013Q1,Debtor's petition,New South Wales,No,948
2013Q1,Debtor's petition,Victoria,No,574
2013Q1,Debtor's petition,Queensland,No,830
2013Q1,Debtor's petition,South Australia,No,228
2013Q1,Debtor's petition,Western Australia,No,178
2013Q1,Debtor's petition,Tasmania,No,104
2013Q1,Debtor's petition,Northern Territory,No,14
2013Q1,Debtor's petition,Australian Capital Territory,No,37
2013Q1,Debtor's petition,Other,No,3
2013Q1,Sequestration order,New South Wales,No,54
2013Q1,Sequestration order,Victoria,No,30
2013Q1,Sequestration order,Queensland,No,35
2013Q1,Sequestration order,South Australia,No,8
2013Q1,Sequestration order,Western Australia,No,14
2013Q1,Sequestration order,Tasmania,No,2
2013Q1,Sequestration order,Northern Territory,No,2
2013Q1,Sequestration order,Australian Capital Territory,No,1
2013Q1,Sequestration order,Other,No,4
2013Q1,Total bankruptcies,New South Wales,No,1002
2013Q1,Total bankruptcies,Victoria,No,604
2013Q1,Total bankruptcies,Queensland,No,865
2013Q1,Total bankruptcies,South Australia,No,236
2013Q1,Total bankruptcies,Western Australia,No,192
2013Q1,Total bankruptcies,Tasmania,No,106
2013Q1,Total bankruptcies,Northern Territory,No,16
2013Q1,Total bankruptcies,Australian Capital Territory,No,38
2013Q1,Total bankruptcies,Other,No,7
2013Q1,Deceased estate,New South Wales,No,0
2013Q1,Deceased estate,Victoria,No,0
2013Q1,Deceased estate,Queensland,No,0
2013Q1,Deceased estate,South Australia,No,0
2013Q1,Deceased estate,Western Australia,No,0
2013Q1,Deceased estate,Tasmania,No,0
2013Q1,Deceased estate,Northern Territory,No,0
2013Q1,Deceased estate,Australian Capital Territory,No,0
2013Q1,Deceased estate,Other,No,1
2013Q1,Debt agreement,New South Wales,No,780
2013Q1,Debt agreement,Victoria,No,382
2013Q1,Debt agreement,Queensland,No,597
2013Q1,Debt agreement,South Australia,No,111
2013Q1,Debt agreement,Western Australia,No,173
2013Q1,Debt agreement,Tasmania,No,57
2013Q1,Debt agreement,Northern Territory,No,24
2013Q1,Debt agreement,Australian Capital Territory,No,32
2013Q1,Debt agreement,Other,No,5
2013Q1,Personal insolvency agreement,New South Wales,No,6
2013Q1,Personal insolvency agreement,Victoria,No,3
2013Q1,Personal insolvency agreement,Queensland,No,6
2013Q1,Personal insolvency agreement,South Australia,No,2
2013Q1,Personal insolvency agreement,Western Australia,No,13
2013Q1,Personal insolvency agreement,Tasmania,No,2
2013Q1,Personal insolvency agreement,Northern Territory,No,0
2013Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2013Q1,Personal insolvency agreement,Other,No,0
2013Q2,Debtor's petition,New South Wales,No,905
2013Q2,Debtor's petition,Victoria,No,596
2013Q2,Debtor's petition,Queensland,No,844
2013Q2,Debtor's petition,South Australia,No,274
2013Q2,Debtor's petition,Western Australia,No,178
2013Q2,Debtor's petition,Tasmania,No,85
2013Q2,Debtor's petition,Northern Territory,No,13
2013Q2,Debtor's petition,Australian Capital Territory,No,33
2013Q2,Debtor's petition,Other,No,10
2013Q2,Sequestration order,New South Wales,No,85
2013Q2,Sequestration order,Victoria,No,50
2013Q2,Sequestration order,Queensland,No,32
2013Q2,Sequestration order,South Australia,No,7
2013Q2,Sequestration order,Western Australia,No,8
2013Q2,Sequestration order,Tasmania,No,2
2013Q2,Sequestration order,Northern Territory,No,0
2013Q2,Sequestration order,Australian Capital Territory,No,1
2013Q2,Sequestration order,Other,No,2
2013Q2,Total bankruptcies,New South Wales,No,990
2013Q2,Total bankruptcies,Victoria,No,646
2013Q2,Total bankruptcies,Queensland,No,876
2013Q2,Total bankruptcies,South Australia,No,281
2013Q2,Total bankruptcies,Western Australia,No,186
2013Q2,Total bankruptcies,Tasmania,No,87
2013Q2,Total bankruptcies,Northern Territory,No,13
2013Q2,Total bankruptcies,Australian Capital Territory,No,34
2013Q2,Total bankruptcies,Other,No,12
2013Q2,Deceased estate,New South Wales,No,0
2013Q2,Deceased estate,Victoria,No,0
2013Q2,Deceased estate,Queensland,No,0
2013Q2,Deceased estate,South Australia,No,0
2013Q2,Deceased estate,Western Australia,No,0
2013Q2,Deceased estate,Tasmania,No,0
2013Q2,Deceased estate,Northern Territory,No,0
2013Q2,Deceased estate,Australian Capital Territory,No,0
2013Q2,Deceased estate,Other,No,3
2013Q2,Debt agreement,New South Wales,No,714
2013Q2,Debt agreement,Victoria,No,408
2013Q2,Debt agreement,Queensland,No,585
2013Q2,Debt agreement,South Australia,No,108
2013Q2,Debt agreement,Western Australia,No,167
2013Q2,Debt agreement,Tasmania,No,73
2013Q2,Debt agreement,Northern Territory,No,21
2013Q2,Debt agreement,Australian Capital Territory,No,50
2013Q2,Debt agreement,Other,No,3
2013Q2,Personal insolvency agreement,New South Wales,No,18
2013Q2,Personal insolvency agreement,Victoria,No,14
2013Q2,Personal insolvency agreement,Queensland,No,5
2013Q2,Personal insolvency agreement,South Australia,No,2
2013Q2,Personal insolvency agreement,Western Australia,No,2
