Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Mar-13,Personal insolvency agreement,Queensland,Yes,9,,
Mar-13,Personal insolvency agreement,South Australia,Yes,4,,
Mar-13,Personal insolvency agreement,Western Australia,Yes,9,,
Mar-13,Personal insolvency agreement,Tasmania,Yes,1,,
Mar-13,Personal insolvency agreement,Northern Territory,Yes,0,,
Mar-13,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Mar-13,Personal insolvency agreement,Other,Yes,1,,
Mar-13,Personal insolvency agreement,Total,Yes,52,,
Mar-13,Personal insolvency agreement,New South Wales,No,6,,
Mar-13,Personal insolvency agreement,Victoria,No,3,,
Mar-13,Personal insolvency agreement,Queensland,No,6,,
Mar-13,Personal insolvency agreement,South Australia,No,2,,
Mar-13,Personal insolvency agreement,Western Australia,No,13,,
Mar-13,Personal insolvency agreement,Tasmania,No,2,,
Mar-13,Personal insolvency agreement,Northern Territory,No,0,,
Mar-13,Personal insolvency agreement,Australian Capital Territory,No,0,,
Mar-13,Personal insolvency agreement,Other,No,0,,
Mar-13,Personal insolvency agreement,Total,No,32,,
Mar-13,Personal insolvency agreement,New South Wales,Total,20,,
Mar-13,Personal insolvency agreement,Victoria,Total,17,,
Mar-13,Personal insolvency agreement,Queensland,Total,15,,
Mar-13,Personal insolvency agreement,South Australia,Total,6,,
Mar-13,Personal insolvency agreement,Western Australia,Total,22,,
Mar-13,Personal insolvency agreement,Tasmania,Total,3,,
Mar-13,Personal insolvency agreement,Northern Territory,Total,0,,
Mar-13,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Mar-13,Personal insolvency agreement,Other,Total,1,,
Mar-13,Personal insolvency agreement,Total,Total,84,,
Mar-13,Total personal insolvencies,New South Wales,Yes,687,,
Mar-13,Total personal insolvencies,Victoria,Yes,406,,
Mar-13,Total personal insolvencies,Queensland,Yes,708,,
Mar-13,Total personal insolvencies,South Australia,Yes,119,,
Mar-13,Total personal insolvencies,Western Australia,Yes,170,,
Mar-13,Total personal insolvencies,Tasmania,Yes,46,,
Mar-13,Total personal insolvencies,Northern Territory,Yes,9,,
Mar-13,Total personal insolvencies,Australian Capital Territory,Yes,26,,
Mar-13,Total personal insolvencies,Other,Yes,11,,
Mar-13,Total personal insolvencies,Total,Yes,2182,,
Mar-13,Total personal insolvencies,New South Wales,No,1788,,
Mar-13,Total personal insolvencies,Victoria,No,989,,
Mar-13,Total personal insolvencies,Queensland,No,1468,,
Mar-13,Total personal insolvencies,South Australia,No,349,,
Mar-13,Total personal insolvencies,Western Australia,No,378,,
Mar-13,Total personal insolvencies,Tasmania,No,165,,
Mar-13,Total personal insolvencies,Northern Territory,No,40,,
Mar-13,Total personal insolvencies,Australian Capital Territory,No,70,,
Mar-13,Total personal insolvencies,Other,No,13,,
Mar-13,Total personal insolvencies,Total,No,5260,,
Mar-13,Total personal insolvencies,New South Wales,Total,2475,,
Mar-13,Total personal insolvencies,Victoria,Total,1395,,
Mar-13,Total personal insolvencies,Queensland,Total,2176,,
Mar-13,Total personal insolvencies,South Australia,Total,468,,
Mar-13,Total personal insolvencies,Western Australia,Total,548,,
Mar-13,Total personal insolvencies,Tasmania,Total,211,,
Mar-13,Total personal insolvencies,Northern Territory,Total,49,,
Mar-13,Total personal insolvencies,Australian Capital Territory,Total,96,,
Mar-13,Total personal insolvencies,Other,Total,24,,
Mar-13,Total personal insolvencies,Total,Total,7442,,
Jun-13,Debtor's petition,New South Wales,Yes,585,,
Jun-13,Debtor's petition,Victoria,Yes,372,,
Jun-13,Debtor's petition,Queensland,Yes,580,,
Jun-13,Debtor's petition,South Australia,Yes,117,,
Jun-13,Debtor's petition,Western Australia,Yes,158,,
Jun-13,Debtor's petition,Tasmania,Yes,53,,
Jun-13,Debtor's petition,Northern Territory,Yes,9,,
Jun-13,Debtor's petition,Australian Capital Territory,Yes,20,,
Jun-13,Debtor's petition,Other,Yes,15,,
Jun-13,Debtor's petition,Total,Yes,1909,,
Jun-13,Debtor's petition,New South Wales,No,905,,
Jun-13,Debtor's petition,Victoria,No,596,,
Jun-13,Debtor's petition,Queensland,No,844,,
Jun-13,Debtor's petition,South Australia,No,274,,
Jun-13,Debtor's petition,Western Australia,No,178,,
Jun-13,Debtor's petition,Tasmania,No,85,,
Jun-13,Debtor's petition,Northern Territory,No,13,,
Jun-13,Debtor's petition,Australian Capital Territory,No,33,,
Jun-13,Debtor's petition,Other,No,10,,
Jun-13,Debtor's petition,Total,No,2938,,
Jun-13,Debtor's petition,New South Wales,Total,1490,,
Jun-13,Debtor's petition,Victoria,Total,968,,
Jun-13,Debtor's petition,Queensland,Total,1424,,
Jun-13,Debtor's petition,South Australia,Total,391,,
Jun-13,Debtor's petition,Western Australia,Total,336,,
Jun-13,Debtor's petition,Tasmania,Total,138,,
Jun-13,Debtor's petition,Northern Territory,Total,22,,
Jun-13,Debtor's petition,Australian Capital Territory,Total,53,,
Jun-13,Debtor's petition,Other,Total,25,,
Jun-13,Debtor's petition,Total,Total,4847,,
Jun-13,Sequestration order,New South Wales,Yes,105,,
Jun-13,Sequestration order,Victoria,Yes,74,,
Jun-13,Sequestration order,Queensland,Yes,89,,
Jun-13,Sequestration order,South Australia,Yes,21,,
Jun-13,Sequestration order,Western Australia,Yes,23,,
Jun-13,Sequestration order,Tasmania,Yes,0,,
Jun-13,Sequestration order,Northern Territory,Yes,1,,
Jun-13,Sequestration order,Australian Capital Territory,Yes,8,,
Jun-13,Sequestration order,Other,Yes,4,,
Jun-13,Sequestration order,Total,Yes,325,,
Jun-13,Sequestration order,New South Wales,No,85,,
Jun-13,Sequestration order,Victoria,No,50,,
Jun-13,Sequestration order,Queensland,No,32,,
Jun-13,Sequestration order,South Australia,No,7,,
Jun-13,Sequestration order,Western Australia,No,8,,
Jun-13,Sequestration order,Tasmania,No,2,,
Jun-13,Sequestration order,Northern Territory,No,0,,
Jun-13,Sequestration order,Australian Capital Territory,No,1,,
Jun-13,Sequestration order,Other,No,2,,
Jun-13,Sequestration order,Total,No,187,,
Jun-13,Sequestration order,New South Wales,Total,190,,
Jun-13,Sequestration order,Victoria,Total,124,,
Jun-13,Sequestration order,Queensland,Total,121,,
Jun-13,Sequestration order,South Australia,Total,28,,
Jun-13,Sequestration order,Western Australia,Total,31,,
Jun-13,Sequestration order,Tasmania,Total,2,,
Jun-13,Sequestration order,Northern Territory,Total,1,,
Jun-13,Sequestration order,Australian Capital Territory,Total,9,,
Jun-13,Sequestration order,Other,Total,6,,
Jun-13,Sequestration order,Total,Total,512,,
Jun-13,Total bankruptcies,New South Wales,Yes,690,,
Jun-13,Total bankruptcies,Victoria,Yes,446,,
Jun-13,Total bankruptcies,Queensland,Yes,669,,
Jun-13,Total bankruptcies,South Australia,Yes,138,,
Jun-13,Total bankruptcies,Western Australia,Yes,181,,
Jun-13,Total bankruptcies,Tasmania,Yes,53,,
Jun-13,Total bankruptcies,Northern Territory,Yes,10,,
Jun-13,Total bankruptcies,Australian Capital Territory,Yes,28,,
Jun-13,Total bankruptcies,Other,Yes,19,,
Jun-13,Total bankruptcies,Total,Yes,2234,,
Jun-13,Total bankruptcies,New South Wales,No,990,,
Jun-13,Total bankruptcies,Victoria,No,646,,
Jun-13,Total bankruptcies,Queensland,No,876,,
Jun-13,Total bankruptcies,South Australia,No,281,,
Jun-13,Total bankruptcies,Western Australia,No,186,,
Jun-13,Total bankruptcies,Tasmania,No,87,,
Jun-13,Total bankruptcies,Northern Territory,No,13,,
Jun-13,Total bankruptcies,Australian Capital Territory,No,34,,
Jun-13,Total bankruptcies,Other,No,12,,
Jun-13,Total bankruptcies,Total,No,3125,,
Jun-13,Total bankruptcies,New South Wales,Total,1680,,
Jun-13,Total bankruptcies,Victoria,Total,1092,,
Jun-13,Total bankruptcies,Queensland,Total,1545,,
Jun-13,Total bankruptcies,South Australia,Total,419,,
Jun-13,Total bankruptcies,Western Australia,Total,367,,
Jun-13,Total bankruptcies,Tasmania,Total,140,,
Jun-13,Total bankruptcies,Northern Territory,Total,23,,
Jun-13,Total bankruptcies,Australian Capital Territory,Total,62,,
Jun-13,Total bankruptcies,Other,Total,31,,
Jun-13,Total bankruptcies,Total,Total,5359,,
Jun-13,Deceased estate,New South Wales,Yes,0,,
Jun-13,Deceased estate,Victoria,Yes,0,,
Jun-13,Deceased estate,Queensland,Yes,0,,
Jun-13,Deceased estate,South Australia,Yes,0,,
Jun-13,Deceased estate,Western Australia,Yes,0,,
Jun-13,Deceased estate,Tasmania,Yes,0,,
Jun-13,Deceased estate,Northern Territory,Yes,0,,
Jun-13,Deceased estate,Australian Capital Territory,Yes,0,,
Jun-13,Deceased estate,Other,Yes,3,,
Jun-13,Deceased estate,Total,Yes,3,,
Jun-13,Deceased estate,New South Wales,No,0,,
Jun-13,Deceased estate,Victoria,No,0,,
Jun-13,Deceased estate,Queensland,No,0,,
Jun-13,Deceased estate,South Australia,No,0,,
Jun-13,Deceased estate,Western Australia,No,0,,
Jun-13,Deceased estate,Tasmania,No,0,,
Jun-13,Deceased estate,Northern Territory,No,0,,
Jun-13,Deceased estate,Australian Capital Territory,No,0,,
Jun-13,Deceased estate,Other,No,3,,
Jun-13,Deceased estate,Total,No,3,,
Jun-13,Deceased estate,New South Wales,Total,0,,
Jun-13,Deceased estate,Victoria,Total,0,,
Jun-13,Deceased estate,Queensland,Total,0,,
Jun-13,Deceased estate,South Australia,Total,0,,
Jun-13,Deceased estate,Western Australia,Total,0,,
Jun-13,Deceased estate,Tasmania,Total,0,,
Jun-13,Deceased estate,Northern Territory,Total,0,,
Jun-13,Deceased estate,Australian Capital Territory,Total,0,,
Jun-13,Deceased estate,Other,Total,6,,
Jun-13,Deceased estate,Total,Total,6,,
Jun-13,Debt agreement,New South Wales,Yes,70,,
Jun-13,Debt agreement,Victoria,Yes,51,,
Jun-13,Debt agreement,Queensland,Yes,55,,
Jun-13,Debt agreement,South Australia,Yes,9,,
Jun-13,Debt agreement,Western Australia,Yes,18,,
Jun-13,Debt agreement,Tasmania,Yes,6,,
Jun-13,Debt agreement,Northern Territory,Yes,2,,
Jun-13,Debt agreement,Australian Capital Territory,Yes,4,,
Jun-13,Debt agreement,Other,Yes,0,,
Jun-13,Debt agreement,Total,Yes,215,,
Jun-13,Debt agreement,New South Wales,No,714,,
Jun-13,Debt agreement,Victoria,No,408,,
Jun-13,Debt agreement,Queensland,No,585,,
Jun-13,Debt agreement,South Australia,No,108,,
Jun-13,Debt agreement,Western Australia,No,167,,
Jun-13,Debt agreement,Tasmania,No,73,,
Jun-13,Debt agreement,Northern Territory,No,21,,
Jun-13,Debt agreement,Australian Capital Territory,No,50,,
Jun-13,Debt agreement,Other,No,3,,
Jun-13,Debt agreement,Total,No,2129,,
Jun-13,Debt agreement,New South Wales,Total,784,,
Jun-13,Debt agreement,Victoria,Total,459,,
Jun-13,Debt agreement,Queensland,Total,640,,
Jun-13,Debt agreement,South Australia,Total,117,,
Jun-13,Debt agreement,Western Australia,Total,185,,
Jun-13,Debt agreement,Tasmania,Total,79,,
Jun-13,Debt agreement,Northern Territory,Total,23,,
Jun-13,Debt agreement,Australian Capital Territory,Total,54,,
Jun-13,Debt agreement,Other,Total,3,,
Jun-13,Debt agreement,Total,Total,2344,,
Jun-13,Personal insolvency agreement,New South Wales,Yes,5,,
Jun-13,Personal insolvency agreement,Victoria,Yes,26,,
Jun-13,Personal insolvency agreement,Queensland,Yes,8,,
Jun-13,Personal insolvency agreement,South Australia,Yes,0,,
Jun-13,Personal insolvency agreement,Western Australia,Yes,6,,
Jun-13,Personal insolvency agreement,Tasmania,Yes,0,,
Jun-13,Personal insolvency agreement,Northern Territory,Yes,0,,
Jun-13,Personal insolvency agreement,Australian Capital Territory,Yes,1,,
Jun-13,Personal insolvency agreement,Other,Yes,1,,
Jun-13,Personal insolvency agreement,Total,Yes,47,,
Jun-13,Personal insolvency agreement,New South Wales,No,18,,
Jun-13,Personal insolvency agreement,Victoria,No,14,,
Jun-13,Personal insolvency agreement,Queensland,No,5,,
Jun-13,Personal insolvency agreement,South Australia,No,2,,
Jun-13,Personal insolvency agreement,Western Australia,No,2,,
Jun-13,Personal insolvency agreement,Tasmania,No,0,,
Jun-13,Personal insolvency agreement,Northern Territory,No,0,,
Jun-13,Personal insolvency agreement,Australian Capital Territory,No,0,,
Jun-13,Personal insolvency agreement,Other,No,0,,
Jun-13,Personal insolvency agreement,Total,No,41,,
Jun-13,Personal insolvency agreement,New South Wales,Total,23,,
Jun-13,Personal insolvency agreement,Victoria,Total,40,,
Jun-13,Personal insolvency agreement,Queensland,Total,13,,
Jun-13,Personal insolvency agreement,South Australia,Total,2,,
Jun-13,Personal insolvency agreement,Western Australia,Total,8,,
Jun-13,Personal insolvency agreement,Tasmania,Total,0,,
Jun-13,Personal insolvency agreement,Northern Territory,Total,0,,
Jun-13,Personal insolvency agreement,Australian Capital Territory,Total,1,,
Jun-13,Personal insolvency agreement,Other,Total,1,,
Jun-13,Personal insolvency agreement,Total,Total,88,,
Jun-13,Total personal insolvencies,New South Wales,Yes,765,,
Jun-13,Total personal insolvencies,Victoria,Yes,523,,
Jun-13,Total personal insolvencies,Queensland,Yes,732,,
Jun-13,Total personal insolvencies,South Australia,Yes,147,,
Jun-13,Total personal insolvencies,Western Australia,Yes,205,,
Jun-13,Total personal insolvencies,Tasmania,Yes,59,,
Jun-13,Total personal insolvencies,Northern Territory,Yes,12,,
Jun-13,Total personal insolvencies,Australian Capital Territory,Yes,33,,
Jun-13,Total personal insolvencies,Other,Yes,23,,
Jun-13,Total personal insolvencies,Total,Yes,2499,,
Jun-13,Total personal insolvencies,New South Wales,No,1722,,
Jun-13,Total personal insolvencies,Victoria,No,1068,,
Jun-13,Total personal insolvencies,Queensland,No,1466,,
Jun-13,Total personal insolvencies,South Australia,No,391,,
Jun-13,Total personal insolvencies,Western Australia,No,355,,
Jun-13,Total personal insolvencies,Tasmania,No,160,,
Jun-13,Total personal insolvencies,Northern Territory,No,34,,
Jun-13,Total personal insolvencies,Australian Capital Territory,No,84,,
Jun-13,Total personal insolvencies,Other,No,18,,
Jun-13,Total personal insolvencies,Total,No,5298,,
Jun-13,Total personal insolvencies,New South Wales,Total,2487,,
Jun-13,Total personal insolvencies,Victoria,Total,1591,,
Jun-13,Total personal insolvencies,Queensland,Total,2198,,
Jun-13,Total personal insolvencies,South Australia,Total,538,,
Jun-13,Total personal insolvencies,Western Australia,Total,560,,
Jun-13,Total personal insolvencies,Tasmania,Total,219,,
Jun-13,Total personal insolvencies,Northern Territory,Total,46,,
Jun-13,Total personal insolvencies,Australian Capital Territory,Total,117,,
Jun-13,Total personal insolvencies,Other,Total,41,,
Jun-13,Total personal insolvencies,Total,Total,7797,,
Sep-13,Debtor's petition,New South Wales,Yes,597,,
Sep-13,Debtor's petition,Victoria,Yes,360,,
Sep-13,Debtor's petition,Queensland,Yes,585,,
Sep-13,Debtor's petition,South Australia,Yes,94,,
Sep-13,Debtor's petition,Western Australia,Yes,160,,
Sep-13,Debtor's petition,Tasmania,Yes,37,,
Sep-13,Debtor's petition,Northern Territory,Yes,5,,
Sep-13,Debtor's petition,Australian Capital Territory,Yes,16,,
Sep-13,Debtor's petition,Other,Yes,5,,
Sep-13,Debtor's petition,Total,Yes,1859,,
Sep-13,Debtor's petition,New South Wales,No,917,,
Sep-13,Debtor's petition,Victoria,No,582,,
Sep-13,Debtor's petition,Queensland,No,737,,
Sep-13,Debtor's petition,South Australia,No,197,,
Sep-13,Debtor's petition,Western Australia,No,189,,
Sep-13,Debtor's petition,Tasmania,No,90,,
Sep-13,Debtor's petition,Northern Territory,No,12,,
Sep-13,Debtor's petition,Australian Capital Territory,No,27,,
Sep-13,Debtor's petition,Other,No,9,,
Sep-13,Debtor's petition,Total,No,2760,,
Sep-13,Debtor's petition,New South Wales,Total,1514,,
Sep-13,Debtor's petition,Victoria,Total,942,,
Sep-13,Debtor's petition,Queensland,Total,1322,,
Sep-13,Debtor's petition,South Australia,Total,291,,
Sep-13,Debtor's petition,Western Australia,Total,349,,
Sep-13,Debtor's petition,Tasmania,Total,127,,
Sep-13,Debtor's petition,Northern Territory,Total,17,,
Sep-13,Debtor's petition,Australian Capital Territory,Total,43,,
Sep-13,Debtor's petition,Other,Total,14,,
Sep-13,Debtor's petition,Total,Total,4619,,
Sep-13,Sequestration order,New South Wales,Yes,120,,
Sep-13,Sequestration order,Victoria,Yes,85,,
Sep-13,Sequestration order,Queensland,Yes,100,,
Sep-13,Sequestration order,South Australia,Yes,7,,
Sep-13,Sequestration order,Western Australia,Yes,43,,
Sep-13,Sequestration order,Tasmania,Yes,7,,
Sep-13,Sequestration order,Northern Territory,Yes,1,,
Sep-13,Sequestration order,Australian Capital Territory,Yes,1,,
Sep-13,Sequestration order,Other,Yes,3,,
Sep-13,Sequestration order,Total,Yes,367,,
Sep-13,Sequestration order,New South Wales,No,66,,
Sep-13,Sequestration order,Victoria,No,24,,
Sep-13,Sequestration order,Queensland,No,41,,
Sep-13,Sequestration order,South Australia,No,6,,
Sep-13,Sequestration order,Western Australia,No,16,,
Sep-13,Sequestration order,Tasmania,No,1,,
Sep-13,Sequestration order,Northern Territory,No,0,,
Sep-13,Sequestration order,Australian Capital Territory,No,1,,
Sep-13,Sequestration order,Other,No,2,,
Sep-13,Sequestration order,Total,No,157,,
Sep-13,Sequestration order,New South Wales,Total,186,,
Sep-13,Sequestration order,Victoria,Total,109,,
Sep-13,Sequestration order,Queensland,Total,141,,
Sep-13,Sequestration order,South Australia,Total,13,,
Sep-13,Sequestration order,Western Australia,Total,59,,
Sep-13,Sequestration order,Tasmania,Total,8,,
Sep-13,Sequestration order,Northern Territory,Total,1,,
Sep-13,Sequestration order,Australian Capital Territory,Total,2,,
Sep-13,Sequestration order,Other,Total,5,,
Sep-13,Sequestration order,Total,Total,524,,
Sep-13,Total bankruptcies,New South Wales,Yes,717,,
Sep-13,Total bankruptcies,Victoria,Yes,445,,
Sep-13,Total bankruptcies,Queensland,Yes,685,,
Sep-13,Total bankruptcies,South Australia,Yes,101,,
Sep-13,Total bankruptcies,Western Australia,Yes,203,,
Sep-13,Total bankruptcies,Tasmania,Yes,44,,
Sep-13,Total bankruptcies,Northern Territory,Yes,6,,
Sep-13,Total bankruptcies,Australian Capital Territory,Yes,17,,
Sep-13,Total bankruptcies,Other,Yes,8,,
Sep-13,Total bankruptcies,Total,Yes,2226,,
Sep-13,Total bankruptcies,New South Wales,No,983,,
Sep-13,Total bankruptcies,Victoria,No,606,,
Sep-13,Total bankruptcies,Queensland,No,778,,
Sep-13,Total bankruptcies,South Australia,No,203,,
Sep-13,Total bankruptcies,Western Australia,No,205,,
Sep-13,Total bankruptcies,Tasmania,No,91,,
Sep-13,Total bankruptcies,Northern Territory,No,12,,
Sep-13,Total bankruptcies,Australian Capital Territory,No,28,,
Sep-13,Total bankruptcies,Other,No,11,,
